id,lat,lon
3522135447,41.0593266,114.8800968
3522135453,41.0601742,114.6333956
3522135454,41.0605231,114.5124127
3522135455,41.0607637,114.6743248
3522135456,41.0608799,114.6638442
3522135459,41.0613591,114.5167296
3522135463,41.0630064,114.8988576
3522135478,41.0635443,114.6340445
3522135479,41.0636533,114.8505995
3522135481,41.0638491,114.665055
3522135482,41.0643136,114.7412176
3522135483,41.0644425,114.8916399
3522135485,41.0645908,114.5234215
3522135486,41.0646414,114.7590021
3522135488,41.0650877,114.5315848
3522135491,41.0660017,114.7556685
3522135492,41.0660395,114.8547526
3522135493,41.0661419,114.6802048
3522135496,41.0665599,114.6353261
3522135498,41.0665985,114.75261
3522135499,41.0671477,114.9097951
3522135501,41.0672931,114.5338317
3522135504,41.0675092,114.5263986
3522135507,41.0678598,114.8915754
3522135508,41.0679002,114.5376786
3522135509,41.068161,114.6830546
3522135510,41.0683577,114.7502655
3522135513,41.0688672,114.6288517
3522135516,41.0693391,114.8718456
3522135518,41.0697323,114.5285983
3522135519,41.0699334,114.7462553
3522135520,41.0700252,114.6881976
3522135523,41.0701387,114.5401222
3522135524,41.0702915,114.6625851
3522135526,41.0705246,114.5549716
3522135529,41.0706704,114.5613131
3522135531,41.0709036,114.8508573
3522135537,41.0713954,114.9084358
3522135538,41.0714481,114.5431354
3522135540,41.0717294,114.8892314
3522135543,41.0720338,114.8742202
3522135549,41.0730175,114.546379
3522135551,41.0733985,114.6281114
3522135553,41.0736623,114.5611977
3522135554,41.0738417,114.6882771
3522135557,41.0742814,114.6707095
3522135560,41.074727,114.7443398
3522135563,41.074956,114.6352046
3522135569,41.0753122,114.5524166
3522135575,41.0760083,114.8883352
3522135581,41.0768415,114.851725
3522135582,41.0768985,114.688719
3522135584,41.0772155,114.672182
3522135586,41.0773916,114.8243211
3522135588,41.0778114,114.6497359
3522135993,41.0779704,114.7495264
3522135996,41.078591,114.8105952
3522135997,41.0786124,114.6276253
3522136001,41.0787762,114.6147365
3522136002,41.0788177,114.5633078
3522136003,41.0789049,114.6190865
3522136004,41.0789358,114.8896719
3522136005,41.0790445,114.6926934
3522136014,41.080403,114.6303322
3522136018,41.0808209,114.7617853
3522136020,41.0811523,114.6466895
3522136022,41.0812782,114.8021859
3522136029,41.0821303,114.7435046
3522136030,41.0821366,114.8669047
3522136031,41.0821684,114.8904921
3522136034,41.082535,114.6226976
3522136042,41.0838289,114.569052
3522136043,41.0838311,114.6475153
3522136055,41.0852436,114.5715817
3522136063,41.0861594,114.8108919
3522136067,41.0866864,114.8655156
3522136071,41.0870747,114.6480014
3522136075,41.0874931,114.9141922
3522136076,41.0874931,114.9186681
3522136077,41.0875203,114.5743147
3522136084,41.0880146,114.9241006
3522136085,41.0880711,114.7632304
3522136092,41.0891721,114.6328181
3522136595,41.0900131,114.6258133
3522136596,41.090112,114.5786542
3522136600,41.0915866,114.8642267
3522136602,41.0916969,114.8755973
3522136603,41.091727,114.8680933
3522136604,41.0918848,114.5814827
3522136606,41.0920518,114.4815772
3522136608,41.0922179,114.4766539
3522136611,41.093277,114.832271
3522136612,41.093295,114.4858898
3522136614,41.0939515,114.8599131
3522136617,41.0942668,114.6285679
3522136618,41.095055,114.5825791
3522136619,41.095065,114.8722613
3522136621,41.09571,114.4874197
3522136622,41.0957917,114.8414436
3522136625,41.0964649,114.8231082
3522136626,41.0967549,114.8141058
3522136627,41.0968617,114.6703962
3522136628,41.0969904,114.8098324
3522136629,41.096995,114.8342617
3522136631,41.0976124,114.9076713
3522136632,41.0981159,114.8618535
